               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10289,            0.034338,            0.074103,            0.012987,                0.05,           0.0076854,          0.00076854,            0.039049,            0.029936,            0.025691,              0.0964,              0.0004,              0.0004
                   1,            0.078794,            0.033859,            0.052072,              0.0125,                 0.1,            0.014735,           0.0030164,            0.031625,            0.026509,            0.023146,            0.091882,          0.00088218,          0.00088218
                   2,             0.06557,            0.032641,            0.047922,             0.30344,                0.35,             0.21887,            0.035028,            0.025307,            0.023397,            0.020021,            0.087345,           0.0013446,           0.0013446
                   3,            0.065754,            0.030562,            0.045929,              0.1584,                0.85,              0.3672,            0.076372,            0.025393,            0.021345,            0.018068,            0.082787,           0.0017871,           0.0017871
                   4,            0.058672,            0.030508,            0.033519,             0.45872,                 0.5,             0.51904,             0.13086,            0.026268,            0.018098,            0.012417,             0.07821,           0.0022099,           0.0022099
                   5,            0.045153,             0.02748,            0.019326,             0.56996,                0.75,             0.59671,             0.27074,            0.018989,            0.016725,           0.0067091,            0.073613,           0.0026129,           0.0026129
                   6,            0.056207,            0.026024,            0.017058,             0.88824,                0.85,             0.90257,             0.45203,            0.014042,            0.016549,           0.0040092,            0.068996,           0.0029961,           0.0029961
                   7,            0.045239,              0.0221,            0.014723,             0.86974,                0.85,             0.87498,             0.47278,            0.014086,            0.017592,           0.0032684,            0.064359,           0.0033595,           0.0033595
                   8,            0.043746,            0.020774,           0.0079699,             0.35467,                0.45,             0.33507,             0.15971,            0.035348,            0.018193,           0.0027353,            0.059703,            0.003703,            0.003703
                   9,            0.045466,            0.017501,           0.0069016,             0.17154,                0.85,             0.19808,            0.064526,            0.036561,            0.013322,            0.002464,            0.055027,           0.0040268,           0.0040268
                  10,            0.056962,            0.016256,            0.013025,              0.8903,             0.81208,             0.86877,             0.25511,            0.028314,           0.0095343,           0.0024982,            0.050331,           0.0043308,           0.0043308
                  11,              0.0519,            0.015132,           0.0055625,             0.63211,             0.77369,             0.78934,             0.34302,            0.026291,           0.0085566,           0.0024814,            0.045615,            0.004615,            0.004615
                  12,            0.061325,            0.015663,           0.0089701,             0.44848,             0.73221,              0.5255,             0.16267,            0.029077,           0.0083514,           0.0027355,            0.040879,           0.0048794,           0.0048794
                  13,             0.04918,            0.014747,           0.0046453,             0.47848,                 0.7,             0.59934,             0.14147,            0.022979,           0.0089744,           0.0025663,            0.036124,           0.0051239,           0.0051239
                  14,            0.057961,            0.014877,           0.0055173,             0.89929,             0.89326,             0.94991,             0.50629,            0.024797,           0.0080972,           0.0023679,            0.031349,           0.0053487,           0.0053487
                  15,            0.052412,            0.015954,           0.0068774,             0.54322,             0.71391,             0.70923,             0.20288,            0.024558,           0.0078593,            0.002073,            0.026554,           0.0055537,           0.0055537
                  16,            0.055453,            0.016641,           0.0058941,             0.86912,                0.95,             0.96612,             0.52155,            0.016182,           0.0081014,           0.0017235,            0.021739,           0.0057389,           0.0057389
                  17,            0.037137,            0.015068,           0.0036629,             0.59869,                 0.9,             0.69597,              0.2593,            0.031243,           0.0064157,           0.0015448,            0.016904,           0.0059043,           0.0059043
                  18,             0.04628,            0.013378,           0.0040533,             0.64951,                 0.8,             0.73296,             0.22456,            0.025026,           0.0067927,           0.0014604,             0.01205,           0.0060498,           0.0060498
                  19,            0.061986,            0.013865,           0.0073627,             0.72043,                0.95,             0.84126,             0.28856,            0.024713,           0.0066796,           0.0014676,           0.0071756,           0.0061756,           0.0061756
                  20,            0.049323,            0.013142,           0.0042123,             0.37775,                   1,             0.50146,             0.17502,            0.028428,           0.0060781,           0.0014258,             0.00604,             0.00604,             0.00604
                  21,            0.058079,            0.013461,            0.004409,             0.70723,                0.85,             0.78219,             0.36446,            0.017903,           0.0062417,           0.0014931,             0.00604,             0.00604,             0.00604
                  22,            0.053525,            0.014086,           0.0045045,             0.17538,                 0.8,             0.27309,             0.08413,            0.031327,           0.0055981,           0.0015582,            0.005842,            0.005842,            0.005842
