               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.077279,            0.029704,            0.019055,           0.0040225,             0.16667,            0.010508,           0.0033428,             0.02934,            0.020811,           0.0088148,               0.082,               0.002,               0.002
                   1,            0.058721,            0.029505,            0.019059,             0.44089,             0.11111,             0.14043,            0.050595,            0.022028,            0.016004,           0.0078676,            0.063095,            0.004095,            0.004095
                   2,            0.041774,            0.025392,            0.014701,             0.28627,             0.42208,             0.37898,             0.22934,            0.020788,            0.012763,           0.0063334,             0.04417,           0.0061698,           0.0061698
                   3,            0.044255,             0.02023,            0.012513,             0.20791,             0.63889,             0.34203,             0.22875,            0.026206,           0.0090672,           0.0034088,            0.025209,           0.0082093,           0.0082093
                   4,             0.04697,            0.016937,           0.0098851,             0.53549,             0.64314,             0.59051,             0.39531,            0.023987,            0.006875,           0.0022349,           0.0098063,           0.0098063,           0.0098063
                   5,            0.045422,            0.015925,           0.0079446,             0.57812,              0.7538,             0.83442,              0.4994,            0.023964,           0.0055232,           0.0014555,           0.0098063,           0.0098063,           0.0098063
                   6,            0.044104,            0.015629,           0.0065306,             0.56424,             0.88889,              0.7076,             0.31711,            0.024034,           0.0070082,          0.00066794,           0.0096985,           0.0096985,           0.0096985
                   7,            0.039473,            0.014258,           0.0044289,             0.72327,             0.94444,              0.9015,             0.48794,            0.020587,           0.0059887,          0.00040162,           0.0095678,           0.0095678,           0.0095678
                   8,            0.041915,            0.014605,           0.0041314,             0.80399,             0.84869,             0.93267,             0.53629,             0.01554,           0.0054429,          0.00044889,           0.0094148,           0.0094148,           0.0094148
                   9,            0.040891,            0.012843,           0.0053398,             0.68175,             0.96613,             0.90094,             0.53161,             0.01693,           0.0054176,          0.00062426,           0.0092403,           0.0092403,           0.0092403
                  10,            0.031093,            0.012807,           0.0037671,             0.79056,             0.95192,             0.91277,             0.50987,            0.018606,            0.004713,          0.00071927,           0.0090452,           0.0090452,           0.0090452
